X,Y,SHORTESTDIST,CONCRETE,HBLOCK,BRICK,WOOD,GLASS,RCCROOF,OUTPUT
480,240,83,0,0,0,0,0,0,3
480,245,80,0,0,0,0,0,0,3
480,250,77,0,0,0,0,0,0,3
480,255,74,0,0,0,0,0,0,3
480,260,71,0,0,0,0,0,0,2
480,265,68,0,0,0,0,0,0,2
480,270,66,0,0,0,0,0,0,2
480,275,64,0,0,0,0,0,0,2
480,280,63,0,0,0,0,0,0,2
480,285,61,0,0,0,0,0,0,2
480,290,61,0,0,0,0,0,0,2
480,295,60,0,0,0,0,0,0,2
480,300,60,0,0,0,0,0,0,2
480,305,60,0,0,0,0,0,0,2
480,310,61,0,0,0,0,0,0,2
480,315,62,0,0,0,0,0,0,2
480,320,64,0,0,0,0,0,0,2
480,325,66,0,0,0,0,0,0,2
480,330,68,0,0,0,0,0,0,2
480,335,70,0,0,0,0,0,0,2
480,340,73,0,0,0,0,0,0,3
480,345,76,0,0,0,0,0,0,3
480,350,79,0,0,0,0,0,0,3
480,355,83,0,0,0,0,0,0,3
480,360,86,0,0,0,0,0,0,3
480,365,90,0,0,0,0,0,0,3
480,370,94,0,0,0,0,0,0,3
480,375,98,0,0,0,0,0,0,3
480,380,102,0,0,0,0,0,0,4
480,385,106,0,0,0,0,0,0,4
480,390,110,0,0,0,0,0,0,4
480,395,114,0,0,0,0,0,0,4
480,400,118,0,0,0,0,0,0,4
480,405,123,0,0,0,0,0,0,4
480,410,127,0,0,0,0,0,0,4
480,415,131,0,0,0,0,0,0,5
480,420,136,0,0,0,0,0,0,5
480,425,140,0,0,0,0,0,0,5
480,430,145,0,0,0,0,0,0,5
480,435,150,0,0,0,0,0,0,5
480,440,154,0,0,0,0,0,0,5
480,445,159,0,0,0,0,0,0,6
480,450,163,0,0,0,0,0,0,6
480,455,168,0,0,0,0,0,0,6
480,460,173,0,0,0,0,0,0,6
480,465,177,0,0,0,0,0,0,6
480,470,182,0,0,0,0,0,0,6
480,475,187,0,0,0,0,0,0,7
480,480,192,0,0,0,0,0,0,7
485,240,80,0,0,0,0,0,0,3
485,245,76,0,0,0,0,0,0,3
485,250,73,0,0,0,0,0,0,3
485,255,70,0,0,0,0,0,0,2
485,260,67,0,0,0,0,0,0,2
485,265,64,0,0,0,0,0,0,2
485,270,62,0,0,0,0,0,0,2
485,275,60,0,0,0,0,0,0,2
485,280,58,0,0,0,0,0,0,2
485,285,57,0,0,0,0,0,0,2
485,290,56,0,0,0,0,0,0,2
485,295,55,0,0,0,0,0,0,2
485,300,55,0,0,0,0,0,0,2
485,305,55,0,0,0,0,0,0,2
485,310,56,0,0,0,0,0,0,2
485,315,58,0,0,0,0,0,0,2
485,320,59,0,0,0,0,0,0,2
485,325,61,0,0,0,0,0,0,2
485,330,64,0,0,0,0,0,0,2
485,335,66,0,0,0,0,0,0,2
485,340,69,0,0,0,0,0,0,2
485,345,72,0,0,0,0,0,0,3
485,350,76,0,0,0,0,0,0,3
485,355,79,0,0,0,0,0,0,3
485,360,83,0,0,0,0,0,0,3
485,365,87,0,0,0,0,0,0,3
485,370,91,0,0,0,0,0,0,3
485,375,95,0,0,0,0,0,0,3
485,380,99,0,0,0,0,0,0,3
485,385,103,0,0,0,0,0,0,4
485,390,107,0,0,0,0,0,0,4
485,395,112,0,0,0,0,0,0,4
485,400,116,0,0,0,0,0,0,4
485,405,120,0,0,0,0,0,0,4
485,410,125,0,0,0,0,0,0,4
485,415,129,0,0,0,0,0,0,5
485,420,134,0,0,0,0,0,0,5
485,425,138,0,0,0,0,0,0,5
485,430,143,0,0,0,0,0,0,5
485,435,148,0,0,0,0,0,0,5
485,440,152,0,0,0,0,0,0,5
485,445,157,0,0,0,0,0,0,5
485,450,162,0,0,0,0,0,0,6
485,455,166,0,0,0,0,0,0,6
485,460,171,0,0,0,0,0,0,6
485,465,176,0,0,0,0,0,0,6
485,470,181,0,0,0,0,0,0,6
485,475,185,0,0,0,0,0,0,6
485,480,190,0,0,0,0,0,0,7
490,240,77,0,0,0,0,0,0,3
490,245,73,0,0,0,0,0,0,3
490,250,69,0,0,0,0,0,0,2
490,255,66,0,0,0,0,0,0,2
490,260,63,0,0,0,0,0,0,2
490,265,60,0,0,0,0,0,0,2
490,270,57,0,0,0,0,0,0,2
490,275,55,0,0,0,0,0,0,2
490,280,53,0,0,0,0,0,0,2
490,285,52,0,0,0,0,0,0,2
490,290,51,0,0,0,0,0,0,2
490,295,50,0,0,0,0,0,0,2
490,300,50,0,0,0,0,0,0,2
490,305,50,0,0,0,0,0,0,2
490,310,51,0,0,0,0,0,0,2
490,315,53,0,0,0,0,0,0,2
490,320,55,0,0,0,0,0,0,2
490,325,57,0,0,0,0,0,0,2
490,330,59,0,0,0,0,0,0,2
490,335,62,0,0,0,0,0,0,2
490,340,65,0,0,0,0,0,0,2
490,345,69,0,0,0,0,0,0,2
490,350,72,0,0,0,0,0,0,3
490,355,76,0,0,0,0,0,0,3
490,360,80,0,0,0,0,0,0,3
490,365,84,0,0,0,0,0,0,3
490,370,88,0,0,0,0,0,0,3
490,375,92,0,0,0,0,0,0,3
490,380,96,0,0,0,0,0,0,3
490,385,100,0,0,0,0,0,0,4
490,390,105,0,0,0,0,0,0,4
490,395,109,0,0,0,0,0,0,4
490,400,114,0,0,0,0,0,0,4
490,405,118,0,0,0,0,0,0,4
490,410,123,0,0,0,0,0,0,4
490,415,127,0,0,0,0,0,0,4
490,420,132,0,0,0,0,0,0,5
490,425,136,0,0,0,0,0,0,5
490,430,141,0,0,0,0,0,0,5
490,435,146,0,0,0,0,0,0,5
490,440,151,0,0,0,0,0,0,5
490,445,155,0,0,0,0,0,0,5
490,450,160,0,0,0,0,0,0,6
490,455,165,0,0,0,0,0,0,6
490,460,170,0,0,0,0,0,0,6
490,465,174,0,0,0,0,0,0,6
490,470,179,0,0,0,0,0,0,6
490,475,184,0,0,0,0,0,0,6
490,480,189,0,0,0,0,0,0,7
495,240,73,0,0,0,0,0,0,3
495,245,70,0,0,0,0,0,0,2
495,250,66,0,0,0,0,0,0,2
495,255,62,0,0,0,0,0,0,2
495,260,59,0,0,0,0,0,0,2
495,265,56,0,0,0,0,0,0,2
495,270,53,0,0,0,0,0,0,2
495,275,51,0,0,0,0,0,0,2
495,280,48,0,0,0,0,0,0,2
495,285,47,0,0,0,0,0,0,2
495,290,46,0,0,0,0,0,0,2
495,295,45,0,0,0,0,0,0,2
495,300,45,0,0,0,0,0,0,2
495,305,46,0,0,0,0,0,0,2
495,310,47,0,0,0,0,0,0,2
495,315,48,0,0,0,0,0,0,2
495,320,50,0,0,0,0,0,0,2
495,325,52,0,0,0,0,0,0,2
495,330,55,0,0,0,0,0,0,2
495,335,58,0,0,0,0,0,0,2
495,340,62,0,0,0,0,0,0,2
495,345,65,0,0,0,0,0,0,2
495,350,69,0,0,0,0,0,0,2
495,355,73,0,0,0,0,0,0,3
495,360,77,0,0,0,0,0,0,3
495,365,81,0,0,0,0,0,0,3
495,370,85,0,0,0,0,0,0,3
495,375,89,0,0,0,0,0,0,3
495,380,94,0,0,0,0,0,0,3
495,385,98,0,0,0,0,0,0,3
495,390,102,0,0,0,0,0,0,4
495,395,107,0,0,0,0,0,0,4
495,400,111,0,0,0,0,0,0,4
495,405,116,0,0,0,0,0,0,4
495,410,121,0,0,0,0,0,0,4
495,415,125,0,0,0,0,0,0,4
495,420,130,0,0,0,0,0,0,5
495,425,135,0,0,0,0,0,0,5
495,430,139,0,0,0,0,0,0,5
495,435,144,0,0,0,0,0,0,5
495,440,149,0,0,0,0,0,0,5
495,445,154,0,0,0,0,0,0,5
495,450,159,0,0,0,0,0,0,6
495,455,163,0,0,0,0,0,0,6
495,460,168,0,0,0,0,0,0,6
495,465,173,0,0,0,0,0,0,6
495,470,178,0,0,0,0,0,0,6
495,475,183,0,0,0,0,0,0,6
495,480,187,0,0,0,0,0,0,7
500,240,70,0,0,0,0,0,0,2
500,245,66,0,0,0,0,0,0,2
500,250,62,0,0,0,0,0,0,2
500,255,59,0,0,0,0,0,0,2
500,260,55,0,0,0,0,0,0,2
500,265,52,0,0,0,0,0,0,2
500,270,49,0,0,0,0,0,0,2
500,275,46,0,0,0,0,0,0,2
500,280,44,0,0,0,0,0,0,2
500,285,42,0,0,0,0,0,0,1
500,290,41,0,0,0,0,0,0,1
500,295,40,0,0,0,0,0,0,1
500,300,40,0,0,0,0,0,0,1
500,305,41,0,0,0,0,0,0,1
500,310,42,0,0,0,0,0,0,1
500,315,43,0,0,0,0,0,0,2
500,320,46,0,0,0,0,0,0,2
500,325,48,0,0,0,0,0,0,2
500,330,51,0,0,0,0,0,0,2
500,335,54,0,0,0,0,0,0,2
500,340,58,0,0,0,0,0,0,2
500,345,62,0,0,0,0,0,0,2
500,350,66,0,0,0,0,0,0,2
500,355,70,0,0,0,0,0,0,2
500,360,74,0,0,0,0,0,0,3
500,365,78,0,0,0,0,0,0,3
500,370,82,0,0,0,0,0,0,3
500,375,87,0,0,0,0,0,0,3
500,380,91,0,0,0,0,0,0,3
500,385,96,0,0,0,0,0,0,3
500,390,100,0,0,0,0,0,0,4
500,395,105,0,0,0,0,0,0,4
500,400,110,0,0,0,0,0,0,4
500,405,114,0,0,0,0,0,0,4
500,410,119,0,0,0,0,0,0,4
500,415,124,0,0,0,0,0,0,4
500,420,128,0,0,0,0,0,0,4
500,425,133,0,0,0,0,0,0,5
500,430,138,0,0,0,0,0,0,5
500,435,143,0,0,0,0,0,0,5
500,440,148,0,0,0,0,0,0,5
500,445,152,0,0,0,0,0,0,5
500,450,157,0,0,0,0,0,0,6
500,455,162,0,0,0,0,0,0,6
500,460,167,0,0,0,0,0,0,6
500,465,172,0,0,0,0,0,0,6
500,470,177,0,0,0,0,0,0,6
500,475,181,0,0,0,0,0,0,6
500,480,186,0,0,0,0,0,0,7
505,240,68,0,0,0,0,0,0,2
505,245,64,0,0,0,0,0,0,2
505,250,59,0,0,0,0,0,0,2
505,255,55,0,0,0,0,0,0,2
505,260,52,0,0,0,0,0,0,2
505,265,48,0,0,0,0,0,0,2
505,270,45,0,0,0,0,0,0,2
505,275,42,0,0,0,0,0,0,1
505,280,39,0,0,0,0,0,0,1
505,285,37,0,0,0,0,0,0,1
505,290,36,0,0,0,0,0,0,1
505,295,35,0,0,0,0,0,0,1
505,300,35,0,0,0,0,0,0,1
505,305,36,0,0,0,0,0,0,1
505,310,37,0,0,0,0,0,0,1
505,315,39,0,0,0,0,0,0,1
505,320,41,0,0,0,0,0,0,1
505,325,44,0,0,0,0,0,0,2
505,330,47,0,0,0,0,0,0,2
505,335,51,0,0,0,0,0,0,2
505,340,55,0,0,0,0,0,0,2
505,345,59,0,0,0,0,0,0,2
505,350,63,0,0,0,0,0,0,2
505,355,67,0,0,0,0,0,0,2
505,360,71,0,0,0,0,0,0,2
505,365,76,0,0,0,0,0,0,3
505,370,80,0,0,0,0,0,0,3
505,375,85,0,0,0,0,0,0,3
505,380,89,0,0,0,0,0,0,3
505,385,94,0,0,0,0,0,0,3
505,390,98,0,0,0,0,0,0,3
505,395,103,0,0,0,0,0,0,4
505,400,108,0,0,0,0,0,0,4
505,405,113,0,0,0,0,0,0,4
505,410,117,0,0,0,0,0,0,4
