X,Y,SHORTESTDIST,CONCRETE,HBLOCK,BRICK,WOOD,GLASS,RCCROOF,OUTPUT
480,240,141,0,0,0,0,0,0,5
480,245,137,0,0,0,0,0,0,5
480,250,132,0,0,0,0,0,0,5
480,255,128,0,0,0,0,0,0,4
480,260,124,0,0,0,0,0,0,4
480,265,119,0,0,0,0,0,0,4
480,270,115,0,0,0,0,0,0,4
480,275,111,0,0,0,0,0,0,4
480,280,107,0,0,0,0,0,0,4
480,285,102,0,0,0,0,0,0,4
480,290,98,0,0,0,0,0,0,3
480,295,94,0,0,0,0,0,0,3
480,300,91,0,0,0,0,0,0,3
480,305,87,0,0,0,0,0,0,3
480,310,83,0,0,0,0,0,0,3
480,315,80,0,0,0,0,0,0,3
480,320,77,0,0,0,0,0,0,3
480,325,74,0,0,0,0,0,0,3
480,330,71,0,0,0,0,0,0,2
480,335,68,0,0,0,0,0,0,2
480,340,66,0,0,0,0,0,0,2
480,345,64,0,0,0,0,0,0,2
480,350,63,0,0,0,0,0,0,2
480,355,61,0,0,0,0,0,0,2
480,360,61,0,0,0,0,0,0,2
480,365,60,0,0,0,0,0,0,2
480,370,60,0,0,0,0,0,0,2
480,375,60,0,0,0,0,0,0,2
480,380,61,0,0,0,0,0,0,2
480,385,62,0,0,0,0,0,0,2
480,390,64,0,0,0,0,0,0,2
480,395,66,0,0,0,0,0,0,2
480,400,68,0,0,0,0,0,0,2
480,405,70,0,0,0,0,0,0,2
480,410,73,0,0,0,0,0,0,3
480,415,76,0,0,0,0,0,0,3
480,420,79,0,0,0,0,0,0,3
480,425,83,0,0,0,0,0,0,3
480,430,86,0,0,0,0,0,0,3
480,435,90,0,0,0,0,0,0,3
480,440,94,0,0,0,0,0,0,3
480,445,98,0,0,0,0,0,0,3
480,450,102,0,0,0,0,0,0,4
480,455,106,0,0,0,0,0,0,4
480,460,110,0,0,0,0,0,0,4
480,465,114,0,0,0,0,0,0,4
480,470,118,0,0,0,0,0,0,4
480,475,123,0,0,0,0,0,0,4
480,480,127,0,0,0,0,0,0,4
485,240,139,0,0,0,0,0,0,5
485,245,135,0,0,0,0,0,0,5
485,250,130,0,0,0,0,0,0,5
485,255,126,0,0,0,0,0,0,4
485,260,121,0,0,0,0,0,0,4
485,265,117,0,0,0,0,0,0,4
485,270,112,0,0,0,0,0,0,4
485,275,108,0,0,0,0,0,0,4
485,280,104,0,0,0,0,0,0,4
485,285,100,0,0,0,0,0,0,3
485,290,95,0,0,0,0,0,0,3
485,295,91,0,0,0,0,0,0,3
485,300,87,0,0,0,0,0,0,3
485,305,84,0,0,0,0,0,0,3
485,310,80,0,0,0,0,0,0,3
485,315,76,0,0,0,0,0,0,3
485,320,73,0,0,0,0,0,0,3
485,325,70,0,0,0,0,0,0,2
485,330,67,0,0,0,0,0,0,2
485,335,64,0,0,0,0,0,0,2
485,340,62,0,0,0,0,0,0,2
485,345,60,0,0,0,0,0,0,2
485,350,58,0,0,0,0,0,0,2
485,355,57,0,0,0,0,0,0,2
485,360,56,0,0,0,0,0,0,2
485,365,55,0,0,0,0,0,0,2
485,370,55,0,0,0,0,0,0,2
485,375,55,0,0,0,0,0,0,2
485,380,56,0,0,0,0,0,0,2
485,385,58,0,0,0,0,0,0,2
485,390,59,0,0,0,0,0,0,2
485,395,61,0,0,0,0,0,0,2
485,400,64,0,0,0,0,0,0,2
485,405,66,0,0,0,0,0,0,2
485,410,69,0,0,0,0,0,0,2
485,415,72,0,0,0,0,0,0,3
485,420,76,0,0,0,0,0,0,3
485,425,79,0,0,0,0,0,0,3
485,430,83,0,0,0,0,0,0,3
485,435,87,0,0,0,0,0,0,3
485,440,91,0,0,0,0,0,0,3
485,445,95,0,0,0,0,0,0,3
485,450,99,0,0,0,0,0,0,3
485,455,103,0,0,0,0,0,0,4
485,460,107,0,0,0,0,0,0,4
485,465,112,0,0,0,0,0,0,4
485,470,116,0,0,0,0,0,0,4
485,475,120,0,0,0,0,0,0,4
485,480,125,0,0,0,0,0,0,4
490,240,137,0,0,0,0,0,0,5
490,245,133,0,0,0,0,0,0,5
490,250,128,0,0,0,0,0,0,4
490,255,124,0,0,0,0,0,0,4
490,260,119,0,0,0,0,0,0,4
490,265,114,0,0,0,0,0,0,4
490,270,110,0,0,0,0,0,0,4
490,275,106,0,0,0,0,0,0,4
490,280,101,0,0,0,0,0,0,4
490,285,97,0,0,0,0,0,0,3
490,290,93,0,0,0,0,0,0,3
490,295,88,0,0,0,0,0,0,3
490,300,84,0,0,0,0,0,0,3
490,305,80,0,0,0,0,0,0,3
490,310,77,0,0,0,0,0,0,3
490,315,73,0,0,0,0,0,0,3
490,320,69,0,0,0,0,0,0,2
490,325,66,0,0,0,0,0,0,2
490,330,63,0,0,0,0,0,0,2
490,335,60,0,0,0,0,0,0,2
490,340,57,0,0,0,0,0,0,2
490,345,55,0,0,0,0,0,0,2
490,350,53,0,0,0,0,0,0,2
490,355,52,0,0,0,0,0,0,2
490,360,51,0,0,0,0,0,0,2
490,365,50,0,0,0,0,0,0,2
490,370,50,0,0,0,0,0,0,2
490,375,50,0,0,0,0,0,0,2
490,380,51,0,0,0,0,0,0,2
490,385,53,0,0,0,0,0,0,2
490,390,55,0,0,0,0,0,0,2
490,395,57,0,0,0,0,0,0,2
490,400,59,0,0,0,0,0,0,2
490,405,62,0,0,0,0,0,0,2
490,410,65,0,0,0,0,0,0,2
490,415,69,0,0,0,0,0,0,2
490,420,72,0,0,0,0,0,0,3
490,425,76,0,0,0,0,0,0,3
490,430,80,0,0,0,0,0,0,3
490,435,84,0,0,0,0,0,0,3
490,440,88,0,0,0,0,0,0,3
490,445,92,0,0,0,0,0,0,3
490,450,96,0,0,0,0,0,0,3
490,455,100,0,0,0,0,0,0,4
490,460,105,0,0,0,0,0,0,4
490,465,109,0,0,0,0,0,0,4
490,470,114,0,0,0,0,0,0,4
490,475,118,0,0,0,0,0,0,4
490,480,123,0,0,0,0,0,0,4
495,240,136,0,0,0,0,0,0,5
495,245,131,0,0,0,0,0,0,5
495,250,126,0,0,0,0,0,0,4
495,255,122,0,0,0,0,0,0,4
495,260,117,0,0,0,0,0,0,4
495,265,112,0,0,0,0,0,0,4
495,270,108,0,0,0,0,0,0,4
495,275,103,0,0,0,0,0,0,4
495,280,99,0,0,0,0,0,0,3
495,285,94,0,0,0,0,0,0,3
495,290,90,0,0,0,0,0,0,3
495,295,86,0,0,0,0,0,0,3
495,300,82,0,0,0,0,0,0,3
495,305,77,0,0,0,0,0,0,3
495,310,73,0,0,0,0,0,0,3
495,315,70,0,0,0,0,0,0,2
495,320,66,0,0,0,0,0,0,2
495,325,62,0,0,0,0,0,0,2
495,330,59,0,0,0,0,0,0,2
495,335,56,0,0,0,0,0,0,2
495,340,53,0,0,0,0,0,0,2
495,345,51,0,0,0,0,0,0,2
495,350,48,0,0,0,0,0,0,2
495,355,47,0,0,0,0,0,0,2
495,360,46,0,0,0,0,0,0,2
495,365,45,0,0,0,0,0,0,2
495,370,45,0,0,0,0,0,0,2
495,375,46,0,0,0,0,0,0,2
495,380,47,0,0,0,0,0,0,2
495,385,48,0,0,0,0,0,0,2
495,390,50,0,0,0,0,0,0,2
495,395,52,0,0,0,0,0,0,2
495,400,55,0,0,0,0,0,0,2
495,405,58,0,0,0,0,0,0,2
495,410,62,0,0,0,0,0,0,2
495,415,65,0,0,0,0,0,0,2
495,420,69,0,0,0,0,0,0,2
495,425,73,0,0,0,0,0,0,3
495,430,77,0,0,0,0,0,0,3
495,435,81,0,0,0,0,0,0,3
495,440,85,0,0,0,0,0,0,3
495,445,89,0,0,0,0,0,0,3
495,450,94,0,0,0,0,0,0,3
495,455,98,0,0,0,0,0,0,3
495,460,102,0,0,0,0,0,0,4
495,465,107,0,0,0,0,0,0,4
495,470,111,0,0,0,0,0,0,4
495,475,116,0,0,0,0,0,0,4
495,480,121,0,0,0,0,0,0,4
500,240,134,0,0,0,0,0,0,5
500,245,129,0,0,0,0,0,0,5
500,250,125,0,0,0,0,0,0,4
500,255,120,0,0,0,0,0,0,4
500,260,115,0,0,0,0,0,0,4
